Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
poner_V,2.4,3,3,0.5477,0,0
hora_N,2,1.4,2.2,0,0.5477,0.8367
incluir_V,2.2,2.6,1.8,0.4472,0.5477,0.8367
decir_V,2.2,2.8,3,0.4472,0.4472,0
escuchar_V,2.4,2.6,2.8,0.5477,0.5477,0.4472
perder_V,1,2.4,3,0,0.8944,0
grupo_N,2.6,2,2.8,0.5477,1,0.4472
libro_N,2.6,2,3,0.5477,0.7071,0
fuerza_N,2.4,2.4,2,0.5477,0.8944,1
familia_N,3,2.4,2.8,0,0.5477,0.4472
llegar_V,2.4,3,3,0.5477,0,0
cielo_N,2.8,2.4,2.6,0.4472,0.5477,0.8944
zona_N,2,1.8,1.6,0,0.8367,0.8944
verdad_N,2.8,2.2,1.8,0.4472,0.8367,0.8367
persona_N,2.4,2.6,2.8,0.5477,0.5477,0.4472
norte_N,2.2,1.6,2.4,0.4472,0.5477,0.8944
hombre_N,2.4,2.4,3,0.5477,0.5477,0
cuenta_N,2,1.8,2.4,0,0.8367,0.5477
puerta_N,2,1.4,3,0,0.5477,0
dirigir_V,2,2.8,2.2,0,0.4472,0.4472
momento_N,2.2,1.6,1.8,0.4472,0.5477,0.8367
muerte_N,1.2,2,2.2,0.4472,1,1.0954
municipio_N,2,1.8,2.6,0,0.4472,0.8944
tratar_V,2.2,2.8,1.8,0.4472,0.4472,0.8367
quedar_V,2,1.6,2.2,0,0.8944,0.8367
unir_V,2.4,2.8,2.8,0.5477,0.4472,0.4472
cabeza_N,2,2,3,0,0.7071,0
tierra_N,2.4,2,3,0.5477,1,0
mismo_A,2,2.2,1.6,0,0.4472,0.5477
centro_N,2.4,1.6,2.4,0.5477,0.5477,0.8944
aun_R,2,1.8,1,0,0.4472,0
casa_N,2.8,1.4,2.8,0.4472,0.5477,0.4472
gente_N,2.4,2.2,3,0.5477,1.0954,0
principal_A,2.8,2.2,2.2,0.4472,0.8367,0.8367
tan_R,2,1.8,1.4,0,0.4472,0.8944
mejor_A,2.8,2.4,2.2,0.4472,0.5477,0.8367
preguntar_V,2.2,3,2.4,0.8367,0,0.8944
saber_V,2.8,3,2,0.4472,0,1
formar_V,2.4,3,2,0.5477,0,0.7071
único_A,2.4,2.2,2.6,0.5477,0.8367,0.8944
vez_N,2,2,1.8,0,0.7071,0.8367
camino_N,2.6,2.4,2.6,0.5477,0.8944,0.8944
recuerdo_N,2.2,1.8,3,0.8367,1.0954,0
mujer_N,2.6,2.6,3,0.5477,0.5477,0
conocer_V,2.8,2.8,2.4,0.4472,0.4472,0.8944
parecer_V,2.4,2.2,2.4,0.5477,0.4472,0.5477
olvidar_V,2,2.6,2.4,0.7071,0.5477,0.8944
metro_N,2.1667,2,3,0.4082,0.8944,0
importante_A,2.3333,2.3333,2.3333,0.8165,0.8165,0.8165
universidad_N,2.7143,2.8571,3,0.488,0.378,0
siglo_N,2,1.2,2.6,0,0.4472,0.5477
color_N,2.4,2,3,0.5477,0.7071,0
pasar_V,2,2.4,2.6,0,0.8944,0.5477
correr_V,2.8,3,3,0.4472,0,0
mano_N,2.2,2,3,0.4472,0,0
contar_V,2.4,3,2.8,0.5477,0,0.4472
deber_V,1.6,2,2.8,0.5477,1,0.4472
salir_V,2.6,3,3,0.5477,0,0
