Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
comunidad_N,2.6,2,3,0.5477,0,0
cierto_A,2.4,2.2,1.8,0.5477,0.4472,0.8367
puerto_N,2.4,1.8,2.8,0.5477,0.4472,0.4472
sonreír_V,3,3,3,0,0,0
deseo_N,2.4,3,2.4,0.5477,0,0.8944
aceptar_V,2.6,2.8,2.6,0.5477,0.4472,0.8944
posición_N,2.2,2.2,2.4,0.4472,0.8367,0.5477
década_N,2.2,2,2.2,0.4472,0.7071,1.0954
verde_A,2.4,2.2,3,0.5477,0.4472,0
dedo_N,2.2,2.2,3,0.4472,0.4472,0
alejar_V,2,3,3,0.7071,0,0
esposo_N,1.8,2.4,2.8,0.4472,0.5477,0.4472
pared_N,1.6,1.8,3,0.5477,0.8367,0
besar_V,2.6,2.8,3,0.5477,0.4472,0
basar_V,2.2,2.2,2.2,0.4472,0.4472,0.8367
barrio_N,2.4,2.4,3,0.5477,0.8944,0
efecto_N,2.4,2.8,1.6,0.5477,0.4472,0.8944
escapar_V,1.8,3,2.4,0.8367,0,0.8944
cruzar_V,2.2,3,2.6,0.4472,0,0.8944
oír_V,2.6,2.2,3,0.5477,0.8367,0
parque_N,2.8,2.2,3,0.4472,0.8367,0
fiesta_N,2.4,2.8,3,0.5477,0.4472,0
imaginar_V,2.6,2.4,2.6,0.5477,0.8944,0.5477
negro_N,2.4,2.4,3,0.5477,0.5477,0
perro_N,2.2,2.6,3,0.8367,0.5477,0
permanecer_V,2.6,1.6,2,0.5477,0.8944,1
evitar_V,1.8,3,2.4,0.4472,0,0.8944
bajar_V,2,2.8,2.8,0,0.4472,0.4472
casar_V,2.5,2.8333,2.8333,0.5477,0.4082,0.4082
elegir_V,2.8,3,2.2,0.4472,0,0.8367
recorrer_V,2.2,3,2.6,0.4472,0,0.5477
cumplir_V,2.8,2.8,2.2,0.4472,0.4472,0.8367
fuente_N,2.2,1.2,3,0.4472,0.4472,0
segundo_N,2,1.6,1.8,0,0.5477,0.8367
memoria_N,2.2,2.4,2,0.4472,0.8944,1
esconder_V,1.6,2.8,2.6,0.5477,0.4472,0.8944
cultura_N,2.8,2.6,2,0.4472,0.5477,1
resultado_N,2.2,1.6,1.8,0.4472,0.8944,0.8367
nuevamente_R,2,1.8,1.8,0,0.4472,1.0954
pecho_N,2.1667,1.3333,3,0.4082,0.5164,0
profesor_N,2.2,2.2,3,0.4472,0.8367,0
formular_V,2,2.8,2.2,0,0.4472,1.0954
capital_N,2.4,1.8,2.4,0.5477,0.8367,0.8944
existencia_N,2.6,2,1.8,0.5477,0.7071,0.8367
episodio_N,2.2,2,2.4,0.4472,0.7071,0.8944
verdadero_A,3,2.4,1.8,0,0.5477,0.4472
figura_N,2,2,2.8,0,0.7071,0.4472
denominar_V,2,2.4,1.6,0,0.5477,0.8944
jefe_N,1.6,2.6,3,0.5477,0.5477,0
pena_N,1.2,1.8,2.2,0.4472,1.0954,1.0954
comprar_V,2.8,3,3,0.4472,0,0
carta_N,2,2.4,3,0,0.5477,0
notar_V,2,3,1.6,0,0,0.8944
mandar_V,2,3,2.4,0,0,0.8944
atrás_R,1.8,1.8,2.6,0.4472,0.4472,0.5477
marcar_V,2,2.8,2.4,0,0.4472,0.8944
grito_N,1.4,3,3,0.5477,0,0
demasiado_R,1.6,1.8,2,0.5477,0.4472,0.7071
provocar_V,1.8,3,2.4,0.4472,0,0.8944
elección_N,2.2,2.8,2,0.4472,0.4472,0.7071
acto_N,2,2.8,2.2,0,0.4472,0.8367
modelo_N,2.2,2,2.4,0.4472,0.7071,0.5477
jugador_N,2.8,3,3,0.4472,0,0
libertad_N,3,2.8,2.6,0,0.4472,0.8944
celebrar_V,3,3,3,0,0,0
espalda_N,2.2,1.6,2.8,0.4472,0.5477,0.4472
sitio_N,2.2,1.4,2.2,0.4472,0.5477,0.8367
escritor_N,3,3,3,0,0,0
siquiera_R,2,1.6,1.2,0,0.5477,0.4472
explicar_V,2.6,3,2.4,0.5477,0,0.8944
cantidad_N,2,2,2.2,0,0.7071,0.8367
unión_N,2.8,2.4,2.4,0.4472,0.8944,0.8944
lagrimar_V,1.6,2.6,3,0.8944,0.8944,0
apenas_R,2,1.8333,2.1667,0,0.4082,0.7528
aprender_V,3,3,3,0,0,0
arma_N,1,2.6,3,0,0.5477,0
hallar_V,2.8,3,2.8,0.4472,0,0.4472
distancia_N,1.8,1.6,2.8,0.4472,0.5477,0.4472
simple_A,2.8,2.2,2.8,0.4472,0.4472,0.4472
teatro_N,3,2.6,3,0,0.8944,0
par_N,2.6,2.2,3,0.5477,0.8367,0
andar_V,2.8,2.8,3,0.4472,0.4472,0
futuro_N,2.4,1.8,1.8,0.5477,0.4472,1.0954
eterno_A,2.8,2.2,2,0.4472,0.4472,1
condición_N,2,1.8,1.8,0,0.4472,0.8367
militar_A,1,2.4,2.6,0,0.8944,0.8944
cuento_N,3,2.2,3,0,0.8367,0
ángel_N,2.4,1.8,2.4,0.8944,0.8367,0.8944
golpe_N,1.2,2.4,3,0.4472,0.8944,0
objeto_N,2.2,1.6,2.2,0.4472,0.5477,0.8367
organización_N,2,2.4,2.6,0.7071,0.5477,0.5477
abuelo_N,2.8,2,3,0.4472,1,0
radio_N,2.6,2,3,0.5477,0.7071,0
difícil_A,2,2.2,2.2,0.7071,0.4472,0.8367
viajar_V,3,2.8,3,0,0.4472,0
capaz_A,3,2.6,2.6,0,0.5477,0.5477
montaña_N,2.6,1.6,3,0.5477,0.8944,0
esperanza_N,2.8,1.8,2.6,0.4472,0.8367,0.8944
rodear_V,2.4,2.6,2.6,0.5477,0.5477,0.5477
preparar_V,2.4,2.6,2.6,0.5477,0.5477,0.5477
pierna_N,2.4,2.2,2.8,0.5477,0.8367,0.4472
canal_N,2.4,2.2,3,0.5477,0.8367,0
numeroso_A,2,2.2,3,0,0.4472,0
vestir_V,2,3,3,0,0,0
elemento_N,2.2,2,2.2,0.4472,0.7071,1.0954
control_N,1.8,2,2.6,0.4472,0.7071,0.8944
calor_N,2.4,2.4,3,0.8944,0.8944,0
oeste_N,2,2,2.6,0,0.7071,0.5477
función_N,2,2,2.2,0,0.7071,0.8367
atención_N,2.4,2.4,2.6,0.5477,0.8944,0.8944
compartir_V,2.8,3,3,0.4472,0,0
blanco_N,2.2,1.8,3,0.4472,0.8367,0
necesidad_N,2,2.4,2.4,0,0.8944,0.8944
musical_A,3,2.6,2.6,0,0.5477,0.8944
piso_N,2,1.8,3,0,0.4472,0
seguro_A,2.8,2.2,2.4,0.4472,0.8367,0.8944
ingreso_N,2.2,2.6,2.2,0.4472,0.5477,0.8367
vender_V,2,2.8,2.8,0,0.4472,0.4472
simplemente_R,2.4,2.2,1.8,0.5477,0.4472,0.8367
político_N,1.2,2.4,2.4,0.4472,0.5477,0.8944
completo_A,2.4,2.2,2.6,0.5477,0.8367,0.5477
interés_N,2.4,2.4,2.8,0.5477,0.8944,0.4472
causar_V,2,2.6,2.2,0,0.5477,0.8367
verano_N,3,2.2,3,0,0.8367,0
ala_N,2.6,2.4,3,0.5477,0.8944,0
mitad_N,2,1.6,2.4,0,0.5477,0.8944
ciencia_N,2.6,3,3,0.5477,0,0
hogar_N,3,2,3,0,0.7071,0
faltar_V,1.6,2.4,2.2,0.5477,0.5477,0.8367
rápido_A,2,3,2.2,0.7071,0,0.8367
partido_N,2.2,2.8,2.8,0.4472,0.4472,0.4472
enorme_A,2.2,2.2,2.8,0.4472,0.4472,0.4472
nube_N,2.6,1.6,3,0.5477,0.8944,0
falta_N,1.8,2,2,0.4472,0.7071,1
guardar_V,2,2,2.2,0,1,0.8367
mesa_N,2,1.6,3,0,0.5477,0
extender_V,2,2.8,2,0,0.4472,0.7071
oro_N,2.4,1.2,3,0.5477,0.4472,0
juntar_V,2.4,3,2.2,0.5477,0,0.8367
similar_A,2,1.8,2,0,0.4472,0.7071
enviar_V,2,3,2.2,0,0,0.4472
histórico_A,1.8,1.4,2.2,0.4472,0.5477,0.4472
interpretar_V,2.6,2.8,2,0.5477,0.4472,1
piedra_N,2,1.2,3,0,0.4472,0
frío_N,1.6,2,3,0.8944,1,0
museo_N,2.8,1.8,3,0.4472,0.8367,0
original_A,2.8,2,2.2,0.4472,1,1.0954
civil_A,2,2.2,1.4,0,0.8367,0.5477
luchar_V,2.1667,3,2.8333,0.7528,0,0.4082
campo_N,3,1.7143,3,0,0.9512,0
medida_N,2,2.1667,1.8333,0,0.7528,0.7528
plan_N,2.3333,2.6667,2.6667,0.5164,0.5164,0.5164
apoyar_V,2.4,2.6,3,0.5477,0.8944,0
información_N,2.2,2,2,0.4472,0.7071,0.7071
producto_N,2,1.8,2.6,0,0.8367,0.5477
unidad_N,2.4,2.2,2.4,0.5477,0.8367,0.5477
cercano_A,2.4,2.2,2.6,0.5477,0.8367,0.5477
energía_N,2.8,2.8,3,0.4472,0.4472,0
alegría_N,3,3,3,0,0,0
ayuda_N,2.6,3,2.6,0.5477,0,0.5477
llenar_V,2.4,3,2.8,0.5477,0,0.4472
colocar_V,2,3,2.8,0,0,0.4472
avanzar_V,2.6,3,3,0.5477,0,0
encuentro_N,3,2.8,3,0,0.4472,0
especialmente_R,2.2,2.2,2.2,0.4472,0.4472,0.8367
escena_N,2.2,2.2,2.4,0.4472,0.8367,0.5477
capacidad_N,2.4,2.4,2.6,0.5477,0.5477,0.8944
profundo_A,2.6,2.6,2.8,0.5477,0.5477,0.4472
investigación_N,2.2,3,2.4,0.8367,0,0.8944
largo_R,2,2,2.6,0,0.7071,0.8944
jardín_N,3,1.6,3,0,0.8944,0
gana_N,2.4,2.8,1.6,0.5477,0.4472,0.8944
ropa_N,2.4,1.8,3,0.5477,0.4472,0
cine_N,2.8,2,3,0.4472,1,0
oscuridad_N,1.6,1.4,2.8,0.5477,0.5477,0.4472
realmente_R,2,2.4,2,0,0.5477,1
retirar_V,2,2.6,2.6,0,0.8944,0.5477
red_N,2,1.6,3,0,0.5477,0
parar_V,2,3,3,0,0,0
tema_N,2,1.6,1.6,0,0.5477,0.8944
describir_V,2.2,2.6,2.4,0.4472,0.8944,0.8944
enfrentar_V,1.6,3,2.6,0.5477,0,0.8944
parir_V,2.2,3,3,0.8367,0,0
suerte_N,3,2.2,2.6,0,0.8367,0.5477
edición_N,2,2.6,2.2,0,0.5477,0.8367
ataque_N,1,3,3,0,0,0
abrazar_V,3,3,3,0,0,0
consejo_N,2.8,2.8,2.8,0.4472,0.4472,0.4472
café_N,3,2,3,0,1,0
muchacho_N,2,1.8,2.6,0,0.4472,0.5477
cuarto_N,2,1.4,2.8,0,0.5477,0.4472
revista_N,2.2,1.8,3,0.4472,0.8367,0
tristeza_N,1.2,2,3,0.4472,1,0
carne_N,1.8,1.8,3,0.8367,0.4472,0
comuna_N,2.2,2.2,1.8,0.4472,0.4472,0.8367
enamorar_V,3,3,2.6,0,0,0.5477
espejo_N,2.6,1.6,3,0.5477,0.5477,0
conjunto_N,2.4,2.2,2.6,0.5477,0.4472,0.8944
característica_N,2.2,2,1.8,0.4472,0,0.8367
corto_A,1.8,1.6,2.8,0.8367,0.5477,0.4472
claro_A,3,1.8,2.6,0,0.4472,0.5477
pacífico_A,3,2,2.8,0,1,0.4472
indicar_V,2,2.8,3,0,0.4472,0
felicidad_N,3,2.8,2.8,0,0.4472,0.4472
sensación_N,2.2,2.8,2.2,0.4472,0.4472,0.8367
oportunidad_N,3,2.8,2.6,0,0.4472,0.5477
temer_V,1.2,2.4,2.6,0.4472,0.8944,0.5477
campeonato_N,2.6,2.6,2.4,0.5477,0.5477,0.8944
motivo_N,2.2,2.2,1.8,0.4472,0.8367,0.8367
rato_N,2.2,2.2,2.2,0.4472,0.4472,0.8367
derrotar_V,1.6,2.8,2.6,0.5477,0.4472,0.5477
peso_N,1.8,1.8,2.6,0.4472,0.8367,0.5477
sencillo_A,2.6,2.4,2.8,0.5477,0.5477,0.4472
duro_A,1.8,2.6,2.8,0.4472,0.5477,0.4472
olor_N,2,2.4,2.6,0,0.5477,0.8944
duda_N,1.6,1.8,1.6,0.5477,0.8367,0.5477
puesto_N,2,2.4,1.8,0,0.5477,0.4472
actuar_V,2.8,3,3,0.4472,0,0
principalmente_R,2,2.2,1.6,0,0.4472,0.5477
referir_V,2,2.4,1.4,0,0.5477,0.5477
detrás_R,2,1.6,2.4,0,0.5477,0.8944
destruir_V,1.2,3,2,0.4472,0,1
prueba_N,1.8,2.4,2.2,0.4472,0.5477,0.8367
tenia_N,1,2.4,2.4,0,0.8944,0.8944
perfecto_A,2.8,2.4,2,0.4472,0.5477,1
pelo_N,2,2,3,0,0,0
pasión_N,2.6,2.6,2.6,0.8944,0.8944,0.5477
fecha_N,2.4,2,2,0.5477,0,0.7071
cansar_V,1.3333,2.3333,2.6667,0.5164,0.8165,0.5164
beber_V,3,3,3,0,0,0
lucha_N,1.6,3,2.8,0.8944,0,0.4472
poeta_N,2.8,2.6,2.6,0.4472,0.5477,0.8944
novela_N,3,1.8,2.8,0,0.8367,0.4472
dato_N,2.6,1.6,2.8,0.5477,0.5477,0.4472
limitar_V,1.6,3,2.2,0.5477,0,0.8367
pez_N,2.6,2.8,3,0.5477,0.4472,0
repetir_V,1.8,2.8,1.8,0.4472,0.4472,0.8367
creación_N,2.8,3,2,0.4472,0,1
texto_N,2.6,1.8,2.8,0.5477,0.8367,0.4472
naturaleza_N,3,2.2,2.8,0,1.0954,0.4472
torre_N,2.4,1.4,3,0.5477,0.5477,0
constituir_V,2.4,2.8,1.6,0.5477,0.4472,0.5477
dulce_A,3,1.6,3,0,0.8944,0
obligar_V,1,3,2.6,0,0,0.5477
mil_N,2,2,2.2,0,0,1.0954
pagar_V,1.4,3,3,0.5477,0,0
estructura_N,2,1,2,0,0,1
copa_N,2.6,1.4,3,0.5477,0.8944,0
risa_N,3,3,3,0,0,0
organizar_V,2.2,3,2,0.8367,0,1
municipal_A,2,2,2.6,0,0,0.8944
frío_A,1.4,2.2,2.6,0.5477,1.0954,0.8944
negar_V,1.2,3,2.4,0.4472,0,0.5477
diferencia_N,2,2,2.2,0,0,0.4472
intento_N,2.4,2.8,1.8,0.5477,0.4472,0.8367
vía_N,2,1.6,2.2,0,0.5477,0.8367
policía_N,1.8,2.2,3,0.4472,1.0954,0
demostrar_V,2.4,3,1.8,0.5477,0,0.8367
formación_N,2.8,1.8,1.8,0.4472,0.8367,0.8367
cultural_A,2.8,1.8,1.4,0.4472,0.8367,0.8944
plata_N,2.8,1.8,2.8,0.4472,0.8367,0.4472
período_N,2,1.8,2.2,0,0.4472,0.4472
surgir_V,2.6,3,1.6,0.5477,0,0.8944
pieza_N,2.4,1.6,2.4,0.5477,0.5477,0.8944
suave_A,2.8,2.2,2.6,0.4472,0.8367,0.5477
guerra_N,1,2.2,3,0,1.0954,0
vecino_N,2.2,2.2,2.6,0.4472,0.8367,0.5477
vista_N,3,2.2,2.4,0,0.8367,0.8944
aspecto_N,2.6,2,1.8,0.5477,0.7071,0.8367
meter_V,2.4,3,2.4,0.5477,0,0.8944
amo_N,2.2,2.6,2.2,0.8367,0.5477,0.4472
cortar_V,2,2.8,2.4,0,0.4472,0.8944
distribución_N,2.2,2.4,2,0.4472,0.8944,1
pregunta_N,2.2,3,2.4,0.4472,0,0.8944
paz_N,3,1.8,2.2,0,1.0954,1.0954
fruto_N,2.8,2.2,2.6,0.4472,0.8367,0.5477
belleza_N,3,2.4,3,0,0.8944,0
poema_N,2.8,2,2.4,0.4472,1,0.8944
suficiente_A,2.4,2.2,1.4,0.8944,0.4472,0.5477
famoso_A,2,2.2,2.4,0,0.4472,0.5477
artículo_N,2,1.8,2.2,0,0.4472,0.8367
loco_A,2,3,2.6,0.7071,0,0.5477
villa_N,1.8,2,2.6,0.8367,0.7071,0.5477
perteneciente_A,2.2,1.8,1.6,0.4472,0.4472,0.5477
conservar_V,2,2.2,1.6,0,1.0954,0.8944
dia_N,2.6,2.2,2.8,0.5477,0.4472,0.4472
importancia_N,2.4,2.4,2,0.5477,0.5477,1
seguridad_N,2.8,2.8,2.4,0.4472,0.4472,0.8944
educación_N,2.8,2.8,2.8,0.4472,0.4472,0.4472
pasado_N,2.4,1.8,2.8,0.5477,0.8367,0.4472
sector_N,2,1.8,2.6,0,0.4472,0.5477
determinar_V,2.2,2.8,1.6,0.4472,0.4472,0.5477
declarar_V,2.2,3,2.6,0.4472,0,0.8944
posibilidad_N,2.4,2.2,2,0.5477,0.4472,0.7071
dinero_N,2.8,2.6,3,0.4472,0.5477,0
experiencia_N,2.8,2.6,2.8,0.4472,0.5477,0.4472
disfrutar_V,3,3,3,0,0,0
carácter_N,2.4,2.2,2,0.5477,0.4472,1
velocidad_N,2.2,2.4,2.4,0.4472,0.5477,0.8944
operación_N,1.8,2.8,2.4,0.4472,0.4472,0.8944
decisión_N,2.4,2.8,2.2,0.8944,0.4472,0.8367
preocupar_V,2,2.6,2.6,1,0.8944,0.5477
debutar_V,2.8,3,2.2,0.4472,0,1.0954
contestar_V,2.6,3,2.8,0.5477,0,0.4472
mencionar_V,2.4,2.6,2.6,0.5477,0.5477,0.5477
sonar_V,2.4,2.8,2.8,0.5477,0.4472,0.4472
quitar_V,1.4286,2.8571,3,0.5345,0.378,0
altura_N,2.2,1.8,3,0.4472,0.8367,0
huir_V,1.2,3,3,0.4472,0,0
bosque_N,3,2.2,3,0,0.8367,0
solo_R,2,1.6,2.8,1,0.8944,0.4472
imperio_N,2.4,2,2.6,0.5477,0.7071,0.8944
ordenar_V,2,3,3,0.7071,0,0
residir_V,2,2.6,2.8,0.7071,0.5477,0.4472
selección_N,2,2.4,2.8,0.7071,0.8944,0.4472
fácil_A,2,1.8,2.8,0.7071,0.4472,0.4472
ministro_N,1.8,2,2.8,0.4472,0.7071,0.4472
dueño_N,2.2,2.6,3,0.8367,0.5477,0
tropa_N,2,2.6,3,0.7071,0.8944,0
propiedad_N,2.6,2,3,0.5477,0.7071,0
ruta_N,2.4,2.2,3,0.5477,0.8367,0
defensa_N,2.6,2.2,2.8,0.5477,0.8367,0.4472
actor_N,2.4,2.8,3,0.5477,0.4472,0
reunir_V,2.6,3,3,0.5477,0,0
despedir_V,2.2,2.6,2.8,0.8367,0.5477,0.4472
trasladar_V,2.6,3,2.8,0.5477,0,0.4472
bailar_V,2.2,3,3,0.8367,0,0
enfermedad_N,1.2,2,2.8,0.4472,1,0.4472
entrada_N,2.4,2.2,2.8,0.5477,0.8367,0.4472
firme_A,2.8,2.2,2.6,0.4472,0.4472,0.5477
anunciar_V,2.6,2.6,2.8,0.5477,0.5477,0.4472
busca_N,2.2,2.6,2.6,0.4472,0.5477,0.8944
causa_N,2.4,2.4,2.2,0.5477,0.5477,0.8367
atacar_V,1.4,3,3,0.5477,0,0
muerto_N,1.4,1.4,3,0.5477,0.5477,0
pareja_N,2.8,2.4,3,0.4472,0.8944,0
comercial_A,2.2,2.2,2.6,0.4472,0.4472,0.5477
visitar_V,3,3,3,0,0,0
tirar_V,1.8,2.6,2.8,0.4472,0.8944,0.4472
relacionar_V,2.6,2.8,2.6,0.5477,0.4472,0.8944
cabello_N,2.6,1.8,2.8,0.5477,0.8367,0.4472
artista_N,2.4,2.6,3,0.5477,0.5477,0
espíritu_N,2.6,2.2,2.8,0.5477,0.8367,0.4472
invitar_V,2.8,3,2.8,0.4472,0,0.4472
local_N,2.2,1.8,2.6,0.4472,0.8367,0.5477
firmar_V,2.2,3,2.8,0.4472,0,0.4472
teoría_N,2.6,2,2.6,0.5477,0.7071,0.5477
invierno_N,2.4,1.8,3,0.5477,0.8367,0
objetivo_N,2.2,2.4,2.6,0.4472,0.5477,0.8944
puente_N,2.6,1.4,3,0.5477,0.8944,0
lentamente_R,2,2.4,2.8,0,0.5477,0.4472
imposible_A,1.6,2,2.8,0.8944,0.7071,0.4472
sostener_V,2,2.8,2.6,0.7071,0.4472,0.5477
mercado_N,2.2,2.4,3,0.4472,0.5477,0
transformar_V,2.8,2.8,3,0.4472,0.4472,0
cadena_N,1.2,2,3,0.4472,0.7071,0
personal_A,2.6,2.4,2.8,0.5477,0.5477,0.4472
serio_A,2.2,1.8,2.8,0.4472,0.4472,0.4472
conocimiento_N,3,2.4,3,0,0.8944,0
planeta_N,3,2.4,3,0,0.8944,0
solamente_R,1.8,2,2.2,0.4472,0,0.8367
comunicación_N,2.8,2.8,2.8,0.4472,0.4472,0.4472
etapa_N,2.2,2.4,2.6,0.8367,0.5477,0.5477
integrar_V,2.4,2.8,2.8,0.8944,0.4472,0.4472
marca_N,2,2.6,2.8,0.7071,0.5477,0.4472
categoría_N,2,2.2,2.4,0,0.4472,0.5477
longitud_N,2,2,2.4,0,0,0.5477
peor_A,1.4,2.2,2.2,0.5477,0.4472,0.8367
campaña_N,2.2,2.6,2.2,0.4472,0.5477,0.8367
moderno_A,2.4,2.4,3,0.5477,0.5477,0
colegio_N,3,2.8,3,0,0.4472,0
vuelo_N,3,2.6,3,0,0.5477,0
grabar_V,2.2,2.6,2.6,0.4472,0.5477,0.5477
echar_V,1.2,2.6,2.4,0.4472,0.5477,0.8944
asomar_V,2.4,2.4,2.6,0.5477,0.8944,0.5477
instituto_N,2.4,2.2,2.6,0.5477,0.8367,0.5477
girar_V,2.6,3,2.8,0.5477,0,0.4472
novio_N,2.8,2.4,2.6,0.4472,0.8944,0.5477
apoyo_N,3,3,2.6,0,0,0.5477
tío_N,3,2,3,0,0.7071,0
preferir_V,2.6,2.6,2.4,0.5477,0.5477,0.8944
tamaño_N,2,1.8,2.6,0,0.4472,0.5477
emplear_V,2.4,3,2.6,0.5477,0,0.5477
periodo_N,2,2,2.4,0,0,0.8944
nave_N,2.4,2.2,2.8,0.5477,0.8367,0.4472
material_N,2.2,1.6,2.6,0.4472,0.5477,0.5477
esfuerzo_N,2.6,3,3,0.5477,0,0
amplio_A,2.8,1.8,3,0.4472,0.8367,0
adquirir_V,2.2,2.6,2.8,0.4472,0.8944,0.4472
tren_N,2.4,2,3,0.5477,1,0
error_N,1.2,2.4,2.4,0.4472,0.8944,0.8944
secreto_N,1.8,2.6,2.2,0.4472,0.5477,1.0954
universo_N,2.6,2.6,2.6,0.5477,0.5477,0.5477
desconocer_V,1.4,1.6,1.6,0.5477,0.8944,0.8944
federación_N,2,2.2,2,0,0.4472,0.7071
cuello_N,2.6,2.2,3,0.5477,0.4472,0
pintura_N,2.6,2.4,3,0.5477,0.5477,0
elevar_V,2.8,3,3,0.4472,0,0
ilusión_N,2.6,2.8,2.4,0.5477,0.4472,0.8944
grado_N,2,2,1.8,0,0,0.4472
palacio_N,2.8,1.6,3,0.4472,0.5477,0
cámara_N,2.6,2.8,3,0.5477,0.4472,0
ruido_N,1.4,2.6,3,0.8944,0.8944,0
listo_A,2.8,2.8,2.4,0.4472,0.4472,0.8944
economía_N,2,2.8,2,0,0.4472,1
actualidad_N,2,2.8,2.2,0,0.4472,0.8367
proponer_V,2.6,3,2.4,0.5477,0,0.8944
poesía_N,2.8,2.8,3,0.4472,0.4472,0
kilómetro_N,2,2.4,2.8,0,0.5477,0.4472
callar_V,2,1.8,2.8,0.7071,1.0954,0.4472
enseñar_V,3,3,3,0,0,0
público_N,2.2,2.2,3,0.4472,0.8367,0
sede_N,2,1.6,2.8,0,0.5477,0.4472
aumentar_V,2.4,3,2.8,0.5477,0,0.4472
sorprender_V,2.8,3,2.8,0.4472,0,0.4472
cuidar_V,2.8,3,3,0.4472,0,0
hospital_N,1.8,2.6,3,0.4472,0.5477,0
ausencia_N,1.2,1.4,2.8,0.4472,0.8944,0.4472
doler_V,1.2,2.4,3,0.4472,0.5477,0
posterior_A,2,2,2.2,0,0,0.8367
llanto_N,1.4,2.6,3,0.5477,0.8944,0
cápita_N,2,1.6,2.2,0,0.5477,0.8367
respirar_V,2.6,3,3,0.5477,0,0
marchar_V,1.8,3,3,0.8367,0,0
noticia_N,2,2,2.8,0,1,0.4472
frase_N,2.2,1.8,2.8,0.4472,0.4472,0.4472
próximo_A,2.2,1.6,2.2,0.4472,0.5477,1.0954
aproximadamente_R,2,1.8,2.2,0,0.4472,0.8367
costar_V,2,1.8,2.2,0.7071,0.8367,0.8367
inicio_N,2.4,2.2,2.8,0.5477,0.8367,0.4472
izquierdo_A,2.2,2.2,2.4,0.4472,0.4472,0.8944
autoridad_N,2.2,3,3,0.8367,0,0
vino_N,2.8,2,3,0.4472,0.7071,0
recuperar_V,2.4,3,2.8,0.5477,0,0.4472
protagonizar_V,2.4,3,2.8,0.5477,0,0.4472
comienzo_N,2.4,2,2.6,0.5477,0.7071,0.5477
influencia_N,2.4,2.8,2.6,0.5477,0.4472,0.5477
rápidamente_R,2.2,2.6,2.8,0.4472,0.5477,0.4472
habitar_V,2.4,2.4,2.6,0.5477,0.8944,0.5477
deportivo_A,2.6,3,3,0.5477,0,0
nación_N,2.8,3,2.8,0.4472,0,0.4472
avión_N,2.6,2.6,3,0.5477,0.8944,0
tranquilo_A,3,2,3,0,1,0
expresión_N,2.2,2.6,2.4,0.4472,0.5477,0.5477
raro_A,2.4,2,2.6,0.8944,0.7071,0.5477
debajo_R,1.8,1.6,2.8,0.4472,0.5477,0.4472
reducir_V,1.6,2.8,2.2,0.5477,0.4472,0.8367
diseño_N,2.6,2.6,2.4,0.8944,0.5477,0.8944
festival_N,2.8,3,3,0.4472,0,0
azul_A,2.8,2.2,3,0.4472,0.4472,0
tradicional_A,2.4,1.8,3,0.5477,0.8367,0
adelante_R,2.4,2.2,3,0.5477,0.8367,0
cargar_V,1.6,2.6,3,0.5477,0.5477,0
directo_A,2.6,2.8,2.8,0.5477,0.4472,0.4472
proteger_V,2.8,3,2.8,0.4472,0,0.4472
pobre_A,1.4,1.8,2.8,0.5477,0.8367,0.4472
placer_N,3,2.2,3,0,0.8367,0
reloj_N,1.8,2.2,3,0.4472,0.4472,0
caricia_N,3,3,3,0,0,0
motor_N,2.2,2.8,3,0.4472,0.4472,0
doctor_N,2.2,2.2,3,0.4472,0.4472,0
presente_N,2.8,2.4,2.4,0.4472,0.5477,0.8944
completamente_R,2.6,2.6,2.6,0.5477,0.5477,0.8944
página_N,2.2,2.4,3,0.4472,0.5477,0
playa_N,2.8,1.8,3,0.4472,0.8367,0
robar_V,1,2.8,3,0,0.4472,0
señalar_V,1.8,2.8,3,0.4472,0.4472,0
totalmente_R,2.2,1.8,1.8,0.4472,0.4472,0.8367
vacío_N,1.8,1.6,2.6,0.8367,0.5477,0.8944
incorporar_V,2.8,2.8,2.2,0.4472,0.4472,1.0954
matrimonio_N,2.8,2.6,3,0.4472,0.5477,0
capitán_N,2.4,2.6,3,0.5477,0.5477,0
generar_V,2.8,2.8,2.2,0.4472,0.4472,1.0954
salvar_V,3,3,2.8,0,0,0.4472
señal_N,2.6,2,3,0.5477,0.7071,0
conducir_V,2.8,3,3,0.4472,0,0
lago_N,3,2,3,0,0.7071,0
caballo_N,3,3,3,0,0,0
golpear_V,1.4,2.8,2.8,0.5477,0.4472,0.4472
asi_N,2.2,2,1.6,0.4472,0,0.8944
metal_N,2.4,1.6,2.8,0.8944,0.5477,0.4472
líder_N,2.4,3,2.4,0.5477,0,0.5477
lejano_A,1.6,1.6,2.6,0.5477,0.5477,0.8944
abrazo_N,3,2.2,3,0,0.8367,0
daño_N,1,2,2.6,0,0.7071,0.8944
recoger_V,2.2,2.8,3,0.4472,0.4472,0
consecuencia_N,1.8,2,2,0.4472,0.7071,1
encender_V,2.6,3,3,0.5477,0,0
costumbre_N,2.2,2,2.2,0.4472,0.7071,1.0954
baño_N,2.6,2.2,3,0.5477,0.8367,0
liga_N,2,1.8,2.2,0,0.4472,0.8367
religioso_A,1.8,2,2.4,0.4472,0.7071,0.5477
gota_N,2.6,1.6,3,0.5477,0.5477,0
